assay_date,well_content,tech_rep,well,plate,protein_conc mg/mL
7/4/24,Hom 37 1:4 R2,R2,H4,1,0.5307908407
7/4/24,Hom 37 1:4 R3,R3,H5,1,0.5456025285
7/4/24,Hom 38 1:4 R1,R1,D2,2,0.2647405583
7/4/24,Hom 38 1:4 R2,R2,E2,2,0.3358673938
7/4/24,Hom 38 1:4 R3,R3,F2,2,0.2847384734
7/4/24,Hom 39 1:4 R1,R1,G8,1,0.4195051958
7/4/24,Hom 39 1:4 R2,R2,G9,1,0.4198800101
7/4/24,Hom 39 1:4 R3,R3,H9,1,0.4796921573
7/4/24,Hom 42 1:4 R1,R1,D3,2,0.404694497
7/4/24,Hom 42 1:4 R2,R2,E3,2,0.3790385666
7/4/24,Hom 42 1:4 R3,R3,F3,2,0.3916693869
7/4/24,Hom 43 1:4 R1,R1,A7,1,0.51751691
7/4/24,Hom 43 1:4 R2,R2,B7,1,0.4642289134
7/4/24,Hom 43 1:4 R3,R3,C7,1,0.5148642733
7/4/24,Hom 44 1:4 R1,R1,G7,1,0.7167782455
7/4/24,Hom 44 1:4 R2,R2,H7,1,0.7960498871
7/4/24,Hom 44 1:4 R3,R3,H8,1,0.8115678084
7/4/24,Hom 46 1:4 R1,R1,A8,1,0.3918191734
7/4/24,Hom 46 1:4 R2,R2,B8,1,0.3675854266
7/4/24,Hom 46 1:4 R3,R3,C8,1,0.3698189261
7/4/24,Hom 51 1:4 R1,R1,A9,1,0.9335193037
7/4/24,Hom 51 1:4 R2,R2,B9,1,0.9472108777
7/4/24,Hom 51 1:4 R3,R3,C9,1,1.017001993
7/4/24,Hom 55 1:4 R1,R1,G1,1,0.5661461486
7/4/24,Hom 55 1:4 R2,R2,H1,1,0.6318393557
7/4/24,Hom 55 1:4 R3,R3,H2,1,0.6295413964
7/4/24,Hom 56 1:4 R1,R1,D6,1,0.6778897243
7/4/24,Hom 56 1:4 R2,R2,E6,1,0.8999226133
7/4/24,Hom 56 1:4 R3,R3,F6,1,0.9210105964
7/4/24,Hom 59 1:4 R1,R1,D1,1,0.6149980366
7/4/24,Hom 59 1:4 R2,R2,E1,1,0.6875048449
7/4/24,Hom 59 1:4 R3,R3,F1,1,0.7206347873
7/4/24,Hom 60 1:4 R1,R1,D2,1,0.3064606295
7/4/24,Hom 60 1:4 R2,R2,E2,1,0.3430652753
7/4/24,Hom 60 1:4 R3,R3,F2,1,0.3375052149
7/4/24,Hom 61 1:4 R1,R1,D3,1,0.4281303873
7/4/24,Hom 61 1:4 R2,R2,E3,1,0.4529315659
7/4/24,Hom 61 1:4 R3,R3,F3,1,0.4435284898
7/4/24,Hom 64 1:4 R1,R1,D4,2,0.3120834489
7/4/24,Hom 64 1:4 R2,R2,E4,2,0.3275745718
7/4/24,Hom 64 1:4 R3,R3,F4,2,0.3045382298
7/4/24,Hom 65 1:4 R1,R1,D5,2,0.5425921032
7/4/24,Hom 65 1:4 R2,R2,E5,2,0.5571446329
7/4/24,Hom 65 1:4 R3,R3,F5,2,0.5586020375
7/4/24,Hom 68 1:4 R1,R1,D6,2,0.4397535417
7/4/24,Hom 68 1:4 R2,R2,E6,2,0.4589990684
7/4/24,Hom 68 1:4 R3,R3,F6,2,0.4572135593
7/4/24,Hom 69 1:4 R1,R1,D7,2,0.8436818229
7/4/24,Hom 69 1:4 R2,R2,E7,2,0.9373041493
7/4/24,Hom 69 1:4 R3,R3,F7,2,0.9031786727
7/4/24,Hom 70 1:4 R1,R1,D4,1,0.3642365268
7/4/24,Hom 70 1:4 R2,R2,E4,1,0.3787600374
7/4/24,Hom 70 1:4 R3,R3,F4,1,0.3918191734
7/4/24,Hom 76 1:4 R1,R1,D8,2,0.3790385666
7/4/24,Hom 76 1:4 R2,R2,E8,2,0.3856995716
7/4/24,Hom 76 1:4 R3,R3,F8,2,0.3601729353
7/4/24,Hom 78 1:4 R1,R1,D9,2,0.9338474145
7/4/24,Hom 78 1:4 R2,R2,E9,2,0.9576867376
7/4/24,Hom 78 1:4 R3,R3,F9,2,0.9177332979
7/4/24,Hom 81 1:4 R1,R1,G5,1,0.7002077109
7/4/24,Hom 81 1:4 R2,R2,G6,1,0.7291230233
7/4/24,Hom 81 1:4 R3,R3,H6,1,0.797600963
7/4/24,Hom 85 1:4 R1,R1,G1,2,1.244231001
7/4/24,Hom 85 1:4 R2,R2,H1,2,1.029952027
7/4/24,Hom 85 1:4 R3,R3,H2,2,1.029564169
7/4/24,Hom 89 1:4 R1,R1,G2,2,0.5658948638
7/4/24,Hom 89 1:4 R2,R2,G3,2,0.5542309907
7/4/24,Hom 89 1:4 R3,R3,H3,2,0.5204762331
7/4/24,Hom 91 1:4 R1,R1,G4,2,0.3079655393
7/4/24,Hom 91 1:4 R2,R2,H4,2,0.300430649
7/4/24,Hom 91 1:4 R3,R3,H5,2,0.3028260466
7/4/24,Hom 93 1:4 R1,R1,G5,2,1.179164444
7/4/24,Hom 93 1:4 R2,R2,G6,2,1.116417375
7/4/24,Hom 93 1:4 R3,R3,H6,2,1.024523375
7/4/24,Hom 95 1:4 R1,R1,G7,2,0.8379830013
7/4/24,Hom 95 1:4 R2,R2,H7,2,0.757496645
7/4/24,Hom 95 1:4 R3,R3,H8,2,0.8928517253
7/4/24,Hom 96 1:4 R1,R1,G8,2,0.5535028239
7/4/24,Hom 96 1:4 R2,R2,G9,2,0.6043374632
7/4/24,Hom 96 1:4 R3,R3,H9,2,0.6667340592
7/4/24,Hom 97 1:4 R1,R1,D7,1,0.7735774266
7/4/24,Hom 97 1:4 R2,R2,E7,1,0.8925089607
7/4/24,Hom 97 1:4 R3,R3,F7,1,0.8574364039
7/4/24,Hom 98 1:4 R1,R1,D8,1,0.3631205886
7/4/24,Hom 98 1:4 R2,R2,E8,1,0.3865927065
7/4/24,Hom 98 1:4 R3,R3,F8,1,0.3858463729
7/4/24,Hom 101 1:4 R1,R1,D9,1,0.611173847
7/4/24,Hom 101 1:4 R2,R2,E9,1,0.7075270411
7/4/24,Hom 101 1:4 R3,R3,F9,1,0.7295089771
