assay,plate,well number,well letter,type,well_content,abs562,assay_date
bca,1,3,F,unknown,Hom 61 1:4 R3,0.2016,7/4/24
bca,1,3,G,unknown,Hom 29 1:4 R2,0.2322,7/4/24
bca,1,3,H,unknown,Hom 29 1:4 R3,0.2639,7/4/24
bca,1,4,A,unknown,Hom 23 1:4 R1,0.1922,7/4/24
bca,1,4,B,unknown,Hom 23 1:4 R2,0.1799,7/4/24
bca,1,4,C,unknown,Hom 23 1:4 R3,0.1824,7/4/24
bca,1,4,D,unknown,Hom 70 1:4 R1,0.1804,7/4/24
bca,1,4,E,unknown,Hom 70 1:4 R2,0.1843,7/4/24
bca,1,4,F,unknown,Hom 70 1:4 R3,0.1878,7/4/24
bca,1,4,G,unknown,Hom 37 1:4 R1,0.2157,7/4/24
bca,1,4,H,unknown,Hom 37 1:4 R2,0.2247,7/4/24
bca,1,5,A,unknown,Hom 33 1:4 R1,0.1868,7/4/24
bca,1,5,B,unknown,Hom 33 1:4 R2,0.1778,7/4/24
bca,1,5,C,unknown,Hom 33 1:4 R3,0.1886,7/4/24
bca,1,5,D,unknown,Hom 27 1:4 R1,0.183,7/4/24
bca,1,5,E,unknown,Hom 27 1:4 R2,0.1883,7/4/24
bca,1,5,F,unknown,Hom 27 1:4 R3,0.1908,7/4/24
bca,1,5,G,unknown,Hom 81 1:4 R1,0.269,7/4/24
bca,1,5,H,unknown,Hom 37 1:4 R3,0.2286,7/4/24
bca,1,6,A,unknown,Hom 35 1:4 R1,0.175,7/4/24
bca,1,6,B,unknown,Hom 35 1:4 R2,0.1713,7/4/24
bca,1,6,C,unknown,Hom 35 1:4 R3,0.1758,7/4/24
bca,1,6,D,unknown,Hom 56 1:4 R1,0.2632,7/4/24
bca,1,6,E,unknown,Hom 56 1:4 R2,0.3205,7/4/24
bca,1,6,F,unknown,Hom 56 1:4 R3,0.3259,7/4/24
bca,1,6,G,unknown,Hom 81 1:4 R2,0.2765,7/4/24
bca,1,6,H,unknown,Hom 81 1:4 R3,0.2942,7/4/24
bca,1,7,A,unknown,Hom 43 1:4 R1,0.2212,7/4/24
bca,1,7,B,unknown,Hom 43 1:4 R2,0.2071,7/4/24
bca,1,7,C,unknown,Hom 43 1:4 R3,0.2205,7/4/24
bca,1,7,D,unknown,Hom 97 1:4 R1,0.288,7/4/24
bca,1,7,E,unknown,Hom 97 1:4 R2,0.3186,7/4/24
bca,1,7,F,unknown,Hom 97 1:4 R3,0.3096,7/4/24
bca,1,7,G,unknown,Hom 44 1:4 R1,0.2733,7/4/24
bca,1,7,H,unknown,Hom 44 1:4 R2,0.2938,7/4/24
bca,1,8,A,unknown,Hom 46 1:4 R1,0.1878,7/4/24
bca,1,8,B,unknown,Hom 46 1:4 R2,0.1813,7/4/24
bca,1,8,C,unknown,Hom 46 1:4 R3,0.1819,7/4/24
bca,1,8,D,unknown,Hom 98 1:4 R1,0.1801,7/4/24
bca,1,8,E,unknown,Hom 98 1:4 R2,0.1864,7/4/24
bca,1,8,F,unknown,Hom 98 1:4 R3,0.1862,7/4/24
bca,1,8,G,unknown,Hom 39 1:4 R1,0.1952,7/4/24
bca,1,8,H,unknown,Hom 44 1:4 R3,0.2978,7/4/24
bca,1,9,A,unknown,Hom 51 1:4 R1,0.3291,7/4/24
bca,1,9,B,unknown,Hom 51 1:4 R2,0.3326,7/4/24
bca,1,9,C,unknown,Hom 51 1:4 R3,0.3504,7/4/24
bca,1,9,D,unknown,Hom 101 1:4 R1,0.2458,7/4/24
bca,1,9,E,unknown,Hom 101 1:4 R2,0.2709,7/4/24
bca,1,9,F,unknown,Hom 101 1:4 R3,0.2766,7/4/24
bca,1,9,G,unknown,Hom 39 1:4 R2,0.1953,7/4/24
bca,1,9,H,unknown,Hom 39 1:4 R3,0.2112,7/4/24
bca,2,10,A,standard,A Stand. R1,0.1024,7/4/24
bca,2,10,B,standard,B Stand. R1,0.2659,7/4/24
bca,2,10,C,standard,C Stand. R1,0.435,7/4/24
bca,2,10,D,standard,D Stand. R1,0.5963,7/4/24
bca,2,10,E,standard,E Stand. R1,1.265,7/4/24
bca,2,10,F,standard,F Stand. R1,1.8216,7/4/24
bca,2,10,G,standard,G Stand. R1,2.1438,7/4/24
bca,2,10,H,standard,H Stand. R1,2.2647,7/4/24
bca,2,11,A,standard,A Stand. R2,0.1032,7/4/24
bca,2,11,B,standard,B Stand. R2,0.257,7/4/24
bca,2,11,C,standard,C Stand. R2,0.441,7/4/24
bca,2,11,D,standard,D Stand. R2,0.6628,7/4/24
bca,2,11,E,standard,E Stand. R2,1.2135,7/4/24
bca,2,11,F,standard,F Stand. R2,1.5252,7/4/24
bca,2,11,G,standard,G Stand. R2,2.3337,7/4/24
bca,2,11,H,standard,H Stand. R2,2.7032,7/4/24
bca,2,12,A,standard,A Stand. R3,0.1044,7/4/24
bca,2,12,B,standard,B Stand. R3,0.269,7/4/24
bca,2,12,C,standard,C Stand. R3,0.4455,7/4/24
bca,2,12,D,standard,D Stand. R3,0.6906,7/4/24
bca,2,12,E,standard,E Stand. R3,1.2428,7/4/24
bca,2,12,F,standard,F Stand. R3,1.7442,7/4/24
bca,2,12,G,standard,G Stand. R3,2.1419,7/4/24
bca,2,12,H,standard,H Stand. R3,2.2666,7/4/24
bca,2,1,A,unknown,Hom 1 1:4 R1,0.1726,7/4/24
bca,2,1,B,unknown,Hom 1 1:4 R2,0.1572,7/4/24
bca,2,1,C,unknown,Hom 1 1:4 R3,0.1573,7/4/24
bca,2,1,D,unknown,Hom 34 1:4 R1,0.2322,7/4/24
bca,2,1,E,unknown,Hom 34 1:4 R2,0.2326,7/4/24
bca,2,1,F,unknown,Hom 34 1:4 R3,0.2293,7/4/24
bca,2,1,G,unknown,Hom 85 1:4 R1,0.4281,7/4/24
bca,2,1,H,unknown,Hom 85 1:4 R2,0.3734,7/4/24
bca,2,2,A,unknown,Hom 2 1:4 R1,0.2008,7/4/24
bca,2,2,B,unknown,Hom 2 1:4 R2,0.1864,7/4/24
bca,2,2,C,unknown,Hom 2 1:4 R3,0.1891,7/4/24
bca,2,2,D,unknown,Hom 38 1:4 R1,0.165,7/4/24
bca,2,2,E,unknown,Hom 38 1:4 R2,0.1858,7/4/24
bca,2,2,F,unknown,Hom 38 1:4 R3,0.1709,7/4/24
bca,2,2,G,unknown,Hom 89 1:4 R1,0.2504,7/4/24
bca,2,2,H,unknown,Hom 85 1:4 R3,0.3733,7/4/24
bca,2,3,A,unknown,Hom 3 1:4 R1,0.1928,7/4/24
bca,2,3,B,unknown,Hom 3 1:4 R2,0.1949,7/4/24
bca,2,3,C,unknown,Hom 3 1:4 R3,0.1882,7/4/24
bca,2,3,D,unknown,Hom 42 1:4 R1,0.2055,7/4/24
bca,2,3,E,unknown,Hom 42 1:4 R2,0.1982,7/4/24
bca,2,3,F,unknown,Hom 42 1:4 R3,0.2018,7/4/24
bca,2,3,G,unknown,Hom 89 1:4 R2,0.2472,7/4/24
bca,2,3,H,unknown,Hom 89 1:4 R3,0.2379,7/4/24
bca,2,4,A,unknown,Hom 7 1:4 R1,0.2668,7/4/24
bca,2,4,B,unknown,Hom 7 1:4 R2,0.2278,7/4/24
bca,2,4,C,unknown,Hom 7 1:4 R3,0.2366,7/4/24
bca,2,4,D,unknown,Hom 64 1:4 R1,0.1789,7/4/24
bca,2,4,E,unknown,Hom 64 1:4 R2,0.1834,7/4/24
bca,2,4,F,unknown,Hom 64 1:4 R3,0.1767,7/4/24
bca,2,4,G,unknown,Hom 91 1:4 R1,0.1777,7/4/24
bca,2,4,H,unknown,Hom 91 1:4 R2,0.1755,7/4/24
bca,2,5,A,unknown,Hom 9 1:4 R1,0.1989,7/4/24
bca,2,5,B,unknown,Hom 9 1:4 R2,0.182,7/4/24
bca,2,5,C,unknown,Hom 9 1:4 R3,0.1843,7/4/24
bca,2,5,D,unknown,Hom 65 1:4 R1,0.244,7/4/24
bca,2,5,E,unknown,Hom 65 1:4 R2,0.248,7/4/24
bca,2,5,F,unknown,Hom 65 1:4 R3,0.2484,7/4/24
bca,2,5,G,unknown,Hom 93 1:4 R1,0.4116,7/4/24
bca,2,5,H,unknown,Hom 91 1:4 R3,0.1762,7/4/24
bca,2,6,A,unknown,Hom 14 1:4 R1,0.1601,7/4/24
bca,2,6,B,unknown,Hom 14 1:4 R2,0.1537,7/4/24
bca,2,6,C,unknown,Hom 14 1:4 R3,0.1554,7/4/24
bca,2,6,D,unknown,Hom 68 1:4 R1,0.2154,7/4/24
bca,2,6,E,unknown,Hom 68 1:4 R2,0.2208,7/4/24
bca,2,6,F,unknown,Hom 68 1:4 R3,0.2203,7/4/24
bca,2,6,G,unknown,Hom 93 1:4 R2,0.3956,7/4/24
bca,2,6,H,unknown,Hom 93 1:4 R3,0.372,7/4/24
bca,2,7,A,unknown,Hom 15 1:4 R1,0.1768,7/4/24
bca,2,7,B,unknown,Hom 15 1:4 R2,0.1651,7/4/24
bca,2,7,C,unknown,Hom 15 1:4 R3,0.1617,7/4/24
bca,2,7,D,unknown,Hom 69 1:4 R1,0.3249,7/4/24
bca,2,7,E,unknown,Hom 69 1:4 R2,0.3494,7/4/24
bca,2,7,F,unknown,Hom 69 1:4 R3,0.3405,7/4/24
bca,2,7,G,unknown,Hom 95 1:4 R1,0.3234,7/4/24
bca,2,7,H,unknown,Hom 95 1:4 R2,0.3021,7/4/24
bca,2,8,A,unknown,Hom 22 1:4 R1,0.2364,7/4/24
bca,2,8,B,unknown,Hom 22 1:4 R2,0.2149,7/4/24
bca,2,8,C,unknown,Hom 22 1:4 R3,0.2517,7/4/24
bca,2,8,D,unknown,Hom 76 1:4 R1,0.1982,7/4/24
bca,2,8,E,unknown,Hom 76 1:4 R2,0.2001,7/4/24
bca,2,8,F,unknown,Hom 76 1:4 R3,0.1928,7/4/24
bca,2,8,G,unknown,Hom 96 1:4 R1,0.247,7/4/24
bca,2,8,H,unknown,Hom 95 1:4 R3,0.3378,7/4/24
bca,2,9,A,unknown,Hom 28 1:4 R1,0.2092,7/4/24
bca,2,9,B,unknown,Hom 28 1:4 R2,0.1962,7/4/24
bca,2,9,C,unknown,Hom 28 1:4 R3,0.1952,7/4/24
bca,2,9,D,unknown,Hom 78 1:4 R1,0.3485,7/4/24
bca,2,9,E,unknown,Hom 78 1:4 R2,0.3547,7/4/24
bca,2,9,F,unknown,Hom 78 1:4 R3,0.3443,7/4/24
bca,2,9,G,unknown,Hom 96 1:4 R2,0.2609,7/4/24
bca,2,9,H,unknown,Hom 96 1:4 R3,0.2778,7/4/24
